Date,Open,High,Low,Close,Change(Pips),Change(%)
05-01-2023 04:00,0.66348,0.66399,0.66321,0.66348,0,0
05-01-2023 03:00,0.66216,0.66367,0.6621,0.66353,13.7,0.21
05-01-2023 02:00,0.66187,0.66223,0.66134,0.66219,3.2,0.05
05-01-2023 01:00,0.66178,0.66234,0.66157,0.66185,0.7,0.01
05-01-2023 00:00,0.661,0.66202,0.66097,0.66176,7.6,0.11
04/30/2023 23:00,0.66144,0.66159,0.66104,0.66104,-4,-0.06
04/30/2023 22:00,0.66106,0.66149,0.66075,0.66143,3.7,0.06
04/30/2023 21:00,0.66106,0.6615,0.66091,0.66114,0.8,0.01
04/28/2023 20:00,0.66174,0.66193,0.66145,0.6615,-2.4,-0.04
04/28/2023 19:00,0.66145,0.66176,0.66119,0.66172,2.7,0.04
04/28/2023 18:00,0.66138,0.66168,0.66091,0.66141,0.3,0
04/28/2023 17:00,0.66167,0.66167,0.66119,0.66138,-2.9,-0.04
04/28/2023 16:00,0.66169,0.66182,0.66119,0.66173,0.4,0.01
04/28/2023 15:00,0.66075,0.66168,0.66015,0.66166,9.1,0.14
04/28/2023 14:00,0.65858,0.66093,0.6582,0.66076,21.8,0.33
04/28/2023 13:00,0.65865,0.65978,0.65819,0.65858,-0.7,-0.01
04/28/2023 12:00,0.65861,0.65924,0.65736,0.65863,0.2,0
04/28/2023 11:00,0.65831,0.65876,0.65802,0.65862,3.1,0.05
04/28/2023 10:00,0.65809,0.65934,0.65794,0.65831,2.2,0.03
04/28/2023 09:00,0.65833,0.65864,0.65793,0.65812,-2.1,-0.03
04/28/2023 08:00,0.65957,0.65976,0.6579,0.65831,-12.6,-0.19
04/28/2023 07:00,0.66039,0.6604,0.65841,0.65955,-8.4,-0.13
04/28/2023 06:00,0.66103,0.66141,0.66013,0.66037,-6.6,-0.1
04/28/2023 05:00,0.6615,0.66199,0.66067,0.66101,-4.9,-0.07
04/28/2023 04:00,0.66285,0.66304,0.66148,0.66151,-13.4,-0.2
04/28/2023 03:00,0.66293,0.66339,0.66259,0.66285,-0.8,-0.01
04/28/2023 02:00,0.66376,0.66377,0.6628,0.66295,-8.1,-0.12
04/28/2023 01:00,0.66347,0.66422,0.66317,0.66376,2.9,0.04
04/28/2023 00:00,0.66303,0.66362,0.66283,0.66349,4.6,0.07
04/27/2023 23:00,0.66269,0.66319,0.66258,0.66303,3.4,0.05
04/27/2023 22:00,0.66271,0.66305,0.66255,0.66268,-0.3,0
04/27/2023 21:00,0.66275,0.66277,0.66153,0.66267,-0.8,-0.01
04/27/2023 20:00,0.66287,0.66314,0.66279,0.66305,1.8,0.03
04/27/2023 19:00,0.66304,0.6633,0.66283,0.66288,-1.6,-0.02
04/27/2023 18:00,0.6626,0.66315,0.66229,0.66303,4.3,0.06
04/27/2023 17:00,0.66144,0.66311,0.66138,0.66259,11.5,0.17
04/27/2023 16:00,0.66127,0.66157,0.66113,0.66144,1.7,0.03
04/27/2023 15:00,0.66142,0.66236,0.66113,0.66126,-1.6,-0.02
04/27/2023 14:00,0.66079,0.66226,0.66069,0.66147,6.8,0.1
04/27/2023 13:00,0.66104,0.66151,0.65952,0.6608,-2.4,-0.04
04/27/2023 12:00,0.66182,0.66306,0.66031,0.66105,-7.7,-0.12
04/27/2023 11:00,0.66192,0.66237,0.66172,0.66187,-0.5,-0.01
04/27/2023 10:00,0.6609,0.66196,0.66082,0.66191,10.1,0.15
04/27/2023 09:00,0.66191,0.66205,0.66065,0.66091,-10,-0.15
04/27/2023 08:00,0.66198,0.66239,0.66144,0.66191,-0.7,-0.01
04/27/2023 07:00,0.6627,0.66293,0.66145,0.66195,-7.5,-0.11
04/27/2023 06:00,0.66287,0.66333,0.66221,0.66272,-1.5,-0.02
04/27/2023 05:00,0.66161,0.66356,0.66146,0.66291,13,0.2
04/27/2023 04:00,0.66068,0.66166,0.66067,0.66161,9.3,0.14
